Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
"[<td>4 June 2010,<br/>18:45
</td>, <td><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-0""><a href=""#cite_note-MuskMay2012-13"">[7]</a></sup><br/>B0003.1<sup class=""reference"" id=""cite_ref-block_numbers_14-0""><a href=""#cite_note-block_numbers-14"">[8]</a></sup>
</td>, <td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>, <td><a href=""/wiki/Dragon_Spacecraft_Qualification_Unit"" title=""Dragon Spacecraft Qualification Unit"">Dragon Spacecraft Qualification Unit</a>
</td>, <td>
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>, <td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-failure"" style=""background: #FFC7C7; vertical-align: middle; text-align: center;"">Failure<sup class=""reference"" id=""cite_ref-ns20110930_15-0""><a href=""#cite_note-ns20110930-15"">[9]</a></sup><sup class=""reference"" id=""cite_ref-16""><a href=""#cite_note-16"">[10]</a></sup><br/><small>(parachute)</small>
</td>]",CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",,Failure,4 June 2010,18:45
"[<td>8 December 2010,<br/>15:43<sup class=""reference"" id=""cite_ref-spaceflightnow_Clark_Launch_Report_19-0""><a href=""#cite_note-spaceflightnow_Clark_Launch_Report-19"">[13]</a></sup>
</td>, <td><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-1""><a href=""#cite_note-MuskMay2012-13"">[7]</a></sup><br/>B0004.1<sup class=""reference"" id=""cite_ref-block_numbers_14-1""><a href=""#cite_note-block_numbers-14"">[8]</a></sup>
</td>, <td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>, <td><a href=""/wiki/SpaceX_Dragon"" title=""SpaceX Dragon"">Dragon</a> <a class=""mw-redirect"" href=""/wiki/COTS_Demo_Flight_1"" title=""COTS Demo Flight 1"">demo flight C1</a><br/>(Dragon C101)
</td>, <td>
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a href=""/wiki/International_Space_Station"" title=""International Space Station"">ISS</a>)
</td>, <td><style data-mw-deduplicate=""TemplateStyles:r1126788409"">.mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}</style><div class=""plainlist"">
<ul><li><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)</li>
<li><a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a></li></ul>
</div>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<sup class=""reference"" id=""cite_ref-ns20110930_15-1""><a href=""#cite_note-ns20110930-15"">[9]</a></sup>
</td>, <td class=""table-failure"" style=""background: #FFC7C7; vertical-align: middle; text-align: center;"">Failure<sup class=""reference"" id=""cite_ref-ns20110930_15-2""><a href=""#cite_note-ns20110930-15"">[9]</a></sup><sup class=""reference"" id=""cite_ref-20""><a href=""#cite_note-20"">[14]</a></sup><br/><small>(parachute)</small>
</td>]",CCAFS,Dragon,0,LEO,NASA,Success,,Failure,8 December 2010,15:43
"[<td>22 May 2012,<br/>07:44<sup class=""reference"" id=""cite_ref-BBC_new_era_23-0""><a href=""#cite_note-BBC_new_era-23"">[17]</a></sup>
</td>, <td><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-2""><a href=""#cite_note-MuskMay2012-13"">[7]</a></sup><br/>B0005.1<sup class=""reference"" id=""cite_ref-block_numbers_14-2""><a href=""#cite_note-block_numbers-14"">[8]</a></sup>
</td>, <td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>, <td><a href=""/wiki/SpaceX_Dragon"" title=""SpaceX Dragon"">Dragon</a> <a class=""mw-redirect"" href=""/wiki/Dragon_C2%2B"" title=""Dragon C2+"">demo flight C2+</a><sup class=""reference"" id=""cite_ref-C2_24-0""><a href=""#cite_note-C2-24"">[18]</a></sup><br/>(Dragon C102)
</td>, <td>525 kg (1,157 lb)<sup class=""reference"" id=""cite_ref-25""><a href=""#cite_note-25"">[19]</a></sup>
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a href=""/wiki/International_Space_Station"" title=""International Space Station"">ISS</a>)
</td>, <td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Orbital_Transportation_Services"" title=""Commercial Orbital Transportation Services"">COTS</a>)
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<sup class=""reference"" id=""cite_ref-26""><a href=""#cite_note-26"">[20]</a></sup>
</td>, <td class=""table-noAttempt"" style=""background: #EEE; vertical-align: middle; white-space: nowrap; text-align: center;"">No attempt
</td>]",CCAFS,Dragon,525 kg,LEO,NASA,Success,,"No attempt
",22 May 2012,07:44
"[<td rowspan=""2"">8 October 2012,<br/>00:35<sup class=""reference"" id=""cite_ref-SFN_LLog_27-0""><a href=""#cite_note-SFN_LLog-27"">[21]</a></sup>
</td>, <td rowspan=""2""><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-3""><a href=""#cite_note-MuskMay2012-13"">[7]</a></sup><br/>B0006.1<sup class=""reference"" id=""cite_ref-block_numbers_14-3""><a href=""#cite_note-block_numbers-14"">[8]</a></sup>
</td>, <td rowspan=""2""><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>, <td><a href=""/wiki/SpaceX_CRS-1"" title=""SpaceX CRS-1"">SpaceX CRS-1</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-0""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon C103)
</td>, <td>4,700 kg (10,400 lb)
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a href=""/wiki/International_Space_Station"" title=""International Space Station"">ISS</a>)
</td>, <td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td rowspan=""2"" style=""background:#ececec; text-align:center;""><span class=""nowrap"">No attempt</span>
</td>]",CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",,No attempt,8 October 2012,00:35
"[<td>1 March 2013,<br/>15:10
</td>, <td><a href=""/wiki/Falcon_9_v1.0"" title=""Falcon 9 v1.0"">F9 v1.0</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-4""><a href=""#cite_note-MuskMay2012-13"">[7]</a></sup><br/>B0007.1<sup class=""reference"" id=""cite_ref-block_numbers_14-4""><a href=""#cite_note-block_numbers-14"">[8]</a></sup>
</td>, <td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>, <td><a href=""/wiki/SpaceX_CRS-2"" title=""SpaceX CRS-2"">SpaceX CRS-2</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-1""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon C104)
</td>, <td>4,877 kg (10,752 lb)
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>, <td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-noAttempt"" style=""background: #EEE; vertical-align: middle; white-space: nowrap; text-align: center;"">No attempt
</td>]",CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",,"No attempt
",1 March 2013,15:10
"[<td>29 September 2013,<br/>16:00<sup class=""reference"" id=""cite_ref-pa20130930_36-0""><a href=""#cite_note-pa20130930-36"">[30]</a></sup>
</td>, <td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a><sup class=""reference"" id=""cite_ref-MuskMay2012_13-5""><a href=""#cite_note-MuskMay2012-13"">[7]</a></sup><br/>B1003<sup class=""reference"" id=""cite_ref-block_numbers_14-5""><a href=""#cite_note-block_numbers-14"">[8]</a></sup>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>, <td><a href=""/wiki/CASSIOPE"" title=""CASSIOPE"">CASSIOPE</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-2""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><sup class=""reference"" id=""cite_ref-CASSIOPE_MDA_37-0""><a href=""#cite_note-CASSIOPE_MDA-37"">[31]</a></sup>
</td>, <td>500 kg (1,100 lb)
</td>, <td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar orbit</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>, <td><a href=""/wiki/Maxar_Technologies"" title=""Maxar Technologies"">MDA</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<sup class=""reference"" id=""cite_ref-pa20130930_36-1""><a href=""#cite_note-pa20130930-36"">[30]</a></sup>
</td>, <td class=""table-no2"" style=""background: #FFE3E3; color: black; vertical-align: middle; text-align: center;"">Uncontrolled<br/><small>(ocean)</small><sup class=""reference"" id=""cite_ref-ocean_landing_38-0""><a href=""#cite_note-ocean_landing-38"">[d]</a></sup>
</td>]",CCAFS,CASSIOPE,500 kg,Polar orbit,MDA,Success,,Uncontrolled,29 September 2013,16:00
"[<td>3 December 2013,<br/>22:41<sup class=""reference"" id=""cite_ref-sfn_wwls20130624_41-0""><a href=""#cite_note-sfn_wwls20130624-41"">[34]</a></sup>
</td>, <td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a><br/>B1004
</td>, <td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>, <td><a href=""/wiki/SES-8"" title=""SES-8"">SES-8</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-3""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><sup class=""reference"" id=""cite_ref-spx-pr_42-0""><a href=""#cite_note-spx-pr-42"">[35]</a></sup><sup class=""reference"" id=""cite_ref-aw20110323_43-0""><a href=""#cite_note-aw20110323-43"">[36]</a></sup>
</td>, <td>3,170 kg (6,990 lb)
</td>, <td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>, <td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<sup class=""reference"" id=""cite_ref-SNMissionStatus7_44-0""><a href=""#cite_note-SNMissionStatus7-44"">[37]</a></sup>
</td>, <td class=""table-noAttempt"" style=""background: #EEE; vertical-align: middle; white-space: nowrap; text-align: center;"">No attempt<br/><sup class=""reference"" id=""cite_ref-sf10120131203_45-0""><a href=""#cite_note-sf10120131203-45"">[38]</a></sup>
</td>]",VAFB,SES-8,"3,170 kg",GTO,SES,Success,,No attempt,3 December 2013,22:41
"[<td>6 January 2014,<br/>22:06<sup class=""reference"" id=""cite_ref-NASA_Spaceflight_48-0""><a href=""#cite_note-NASA_Spaceflight-48"">[41]</a></sup>
</td>, <td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>, <td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>, <td><a href=""/wiki/Thaicom_6"" title=""Thaicom 6"">Thaicom 6</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-4""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup>
</td>, <td>3,325 kg (7,330 lb)
</td>, <td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>, <td><a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<sup class=""reference"" id=""cite_ref-sn20140106_49-0""><a href=""#cite_note-sn20140106-49"">[42]</a></sup>
</td>, <td class=""table-noAttempt"" style=""background: #EEE; vertical-align: middle; white-space: nowrap; text-align: center;"">No attempt<br/><sup class=""reference"" id=""cite_ref-50""><a href=""#cite_note-50"">[43]</a></sup>
</td>]",CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,,No attempt,6 January 2014,22:06
"[<td>18 April 2014,<br/>19:25<sup class=""reference"" id=""cite_ref-SFN_LLog_27-1""><a href=""#cite_note-SFN_LLog-27"">[21]</a></sup>
</td>, <td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>, <td><a href=""/wiki/SpaceX_CRS-3"" title=""SpaceX CRS-3"">SpaceX CRS-3</a><sup class=""reference"" id=""cite_ref-sxManifest20120925_28-5""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup><br/>(Dragon C105)
</td>, <td>2,296 kg (5,062 lb)<sup class=""reference"" id=""cite_ref-52""><a href=""#cite_note-52"">[45]</a></sup>
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>, <td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""partial table-partial"" style=""background: #BFE; vertical-align: middle; text-align: center;"">Controlled<br/><small>(ocean)</small> <sup class=""reference"" id=""cite_ref-ocean_landing_38-1""><a href=""#cite_note-ocean_landing-38"">[d]</a></sup><sup class=""reference"" id=""cite_ref-auto_53-0""><a href=""#cite_note-auto-53"">[46]</a></sup>
</td>]",CCAFS,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",,Controlled,18 April 2014,19:25
"[<td>14 July 2014,<br/>15:15
</td>, <td><a href=""/wiki/Falcon_9_v1.1"" title=""Falcon 9 v1.1"">F9 v1.1</a>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">LC-40</a>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Orbcomm-OG2"" title=""Orbcomm-OG2"">Orbcomm-OG2</a>-1<br/>(6 satellites)<sup class=""reference"" id=""cite_ref-sxManifest20120925_28-6""><a href=""#cite_note-sxManifest20120925-28"">[22]</a></sup>
</td>, <td>1,316 kg (2,901 lb)
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>, <td><a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<sup class=""reference"" id=""cite_ref-og2-01_20140714_58-0""><a href=""#cite_note-og2-01_20140714-58"">[51]</a></sup>
</td>, <td class=""partial table-partial"" style=""background: #BFE; vertical-align: middle; text-align: center;"">Controlled<br/><small>(ocean)</small><sup class=""reference"" id=""cite_ref-ocean_landing_38-2""><a href=""#cite_note-ocean_landing-38"">[d]</a></sup><sup class=""reference"" id=""cite_ref-auto_53-1""><a href=""#cite_note-auto-53"">[46]</a></sup>
</td>]",Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,,Controlled,14 July 2014,15:15
